"Reid, M.E. and Ochiai, H, Displacement and pore-pressure data from a field-scale landslide initiation experiment at Mount Kaba-san, Japan",,,,,,,,,,,,
U.S. Geological Survey Data Release: https://doi.org/10.5066/P18XMZPC,,,,,,,,,,,,
"Nov. 14, 2003",100-Hz data,Rapid failure period data,,,,,,,,,,
(TIMER = time after sprinkling commenced in seconds; Ext = extensometer; raw = original distance data; corr = corrected data to reflect slope-parallel distance m = meter; Piezo = piezometer; cm_head = pore-pressure head in centimeters; kPa = kiloPascal),,,,,,,,,,,,
TIMER_(sec),Ext.3_raw_(m),Ext.4_raw_(m),Ext.5_raw_(m),Ext.3_corr_(m),Ext.4_corr_(m),Ext.5_corr_(m),Piezo.4_(cm_head),Piezo.6_(cm_head),Piezo.7_(cm_head),Piezo.4_(kPa),Piezo.6_(kPa),Piezo.7_(kPa)
24620.72,0.60602,0.20723,0.12058,0.606,0.207,0.121,22.93,3.91,38.17,2.25,0.38,3.74
24620.73,0.60615,0.20723,0.12032,0.606,0.207,0.120,23.08,4.06,38.02,2.26,0.40,3.73
24620.74,0.60627,0.20849,0.12045,0.606,0.208,0.120,23.08,3.59,38.02,2.26,0.35,3.73
24620.75,0.60653,0.20723,0.12045,0.607,0.207,0.120,23.08,3.91,38.46,2.26,0.38,3.77
24620.76,0.60665,0.20786,0.12032,0.607,0.208,0.120,23.24,3.59,38.02,2.28,0.35,3.73
24620.77,0.60665,0.20723,0.12058,0.607,0.207,0.121,23.24,3.59,38.02,2.28,0.35,3.73
24620.78,0.60691,0.20849,0.12032,0.607,0.208,0.120,23.08,3.75,38.17,2.26,0.37,3.74
24620.79,0.60703,0.2066,0.12032,0.607,0.207,0.120,23.39,3.75,38.02,2.29,0.37,3.73
24620.80,0.60703,0.20849,0.12032,0.607,0.208,0.120,23.08,3.75,38.17,2.26,0.37,3.74
24620.81,0.60742,0.20723,0.12045,0.607,0.207,0.120,23.24,3.59,38.02,2.28,0.35,3.73
24620.82,0.60716,0.20786,0.1207,0.607,0.208,0.121,23.39,3.75,38.02,2.29,0.37,3.73
24620.83,0.60742,0.2066,0.12045,0.607,0.207,0.120,23.24,3.75,38.17,2.28,0.37,3.74
24620.84,0.6078,0.2066,0.12058,0.608,0.207,0.121,23.08,3.59,38.17,2.26,0.35,3.74
24620.85,0.60792,0.20723,0.12045,0.608,0.207,0.120,23.24,3.91,38.46,2.28,0.38,3.77
24620.86,0.60792,0.20849,0.12045,0.608,0.208,0.120,23.24,3.59,38.02,2.28,0.35,3.73
24620.87,0.60767,0.2066,0.12045,0.608,0.207,0.120,22.93,3.75,38.31,2.25,0.37,3.76
24620.88,0.60818,0.20723,0.12058,0.608,0.207,0.121,23.24,3.59,38.02,2.28,0.35,3.73
24620.89,0.60818,0.20786,0.12058,0.608,0.208,0.121,23.08,3.75,38.17,2.26,0.37,3.74
24620.90,0.60818,0.20786,0.12083,0.608,0.208,0.121,23.24,3.91,38.02,2.28,0.38,3.73
24620.91,0.60843,0.20723,0.12058,0.608,0.207,0.121,23.24,3.59,38.17,2.28,0.35,3.74
24620.92,0.60856,0.20786,0.12083,0.609,0.208,0.121,23.39,3.59,38.17,2.29,0.35,3.74
24620.93,0.60843,0.20723,0.12058,0.608,0.207,0.121,22.93,3.91,38.02,2.25,0.38,3.73
24620.94,0.6083,0.20849,0.12058,0.608,0.208,0.121,23.08,3.44,37.87,2.26,0.34,3.71
24620.95,0.60868,0.20849,0.1207,0.609,0.208,0.121,23.24,3.91,38.17,2.28,0.38,3.74
24620.96,0.60868,0.20723,0.1207,0.609,0.207,0.121,23.39,3.59,38.02,2.29,0.35,3.73
24620.97,0.60881,0.20786,0.12045,0.609,0.208,0.120,23.24,3.91,38.17,2.28,0.38,3.74
24620.98,0.60907,0.20723,0.12058,0.609,0.207,0.121,23.24,3.59,38.17,2.28,0.35,3.74
24620.99,0.60894,0.20849,0.1207,0.609,0.208,0.121,23.24,3.75,38.17,2.28,0.37,3.74
24621.00,0.60907,0.20912,0.1207,0.609,0.209,0.121,23.08,3.59,38.46,2.26,0.35,3.77
24621.01,0.60907,0.20849,0.12045,0.609,0.208,0.120,23.55,3.75,38.17,2.31,0.37,3.74
24621.02,0.60932,0.20786,0.1207,0.609,0.208,0.121,23.39,3.44,38.31,2.29,0.34,3.76
24621.03,0.60932,0.20723,0.12058,0.609,0.207,0.121,23.39,3.75,38.02,2.29,0.37,3.73
24621.04,0.60945,0.20786,0.12083,0.609,0.208,0.121,23.55,3.59,38.31,2.31,0.35,3.76
24621.05,0.60945,0.20786,0.12083,0.609,0.208,0.121,23.55,3.75,38.17,2.31,0.37,3.74
24621.06,0.60957,0.20912,0.12058,0.610,0.209,0.121,23.08,3.44,38.17,2.26,0.34,3.74
24621.07,0.60983,0.20723,0.12096,0.610,0.207,0.121,23.39,3.44,38.17,2.29,0.34,3.74
24621.08,0.6097,0.20786,0.12058,0.610,0.208,0.121,23.24,3.28,38.17,2.28,0.32,3.74
