"Reid, M.E. and Ochiai, H, Displacement and pore-pressure data from a field-scale landslide initiation experiment at Mount Kaba-san, Japan",,,,,,,,,,,,
U.S. Geological Survey Data Release: https://doi.org/10.5066/P18XMZPC,,,,,,,,,,,,
"Nov. 14, 2003",1-Hz downsampled data,Complete period data,,,,,,,,,,
(TIMER = time after sprinkling commenced in seconds; Ext = extensometer; raw = original extensometer wire oblique distance; corr = corrected distance to reflect slope-parallel displacement; m = meter; Piezo = piezometer; cm_head = pore-pressure head in centimeters; kPa = kiloPascal),,,,,,,,,,,,
TIMER_(sec),Ext.3_raw_(m),Ext.4_raw_(m),Ext.5_raw_(m),Ext.3_corr_(m),Ext.4_corr_(m),Ext.5_corr_(m),Piezo.4_(cm_head),Piezo.6_(cm_head),Piezo.7_(cm_head),Piezo.4_(kPa),Piezo.6_(kPa),Piezo.7_(kPa)
139.00 ,0.05815,0.04314,0.06571,0.000,0.000,0.000,-3.27,-80.94,-30.64,-0.32,-7.94,-3.00
140.00 ,0.05815,0.0444,0.06584,0.000,0.001,0.000,-3.42,-80.63,-30.64,-0.34,-7.90,-3.00
141.00 ,0.05828,0.04314,0.06584,0.000,0.000,0.000,-3.27,-80.47,-30.35,-0.32,-7.89,-2.98
142.00 ,0.05828,0.04314,0.06571,0.000,0.000,0.000,-3.27,-81.09,-30.79,-0.32,-7.95,-3.02
143.00 ,0.05841,0.04377,0.06584,0.001,0.001,0.000,-2.96,-80.63,-30.79,-0.29,-7.90,-3.02
144.00 ,0.05828,0.04377,0.06584,0.000,0.001,0.000,-3.27,-80.78,-30.93,-0.32,-7.92,-3.03
145.00 ,0.05815,0.04377,0.06597,0.000,0.001,0.000,-3.27,-81.09,-30.93,-0.32,-7.95,-3.03
146.00 ,0.05828,0.04377,0.06584,0.000,0.001,0.000,-3.42,-80.63,-31.08,-0.34,-7.90,-3.05
147.00 ,0.05853,0.0444,0.06584,0.001,0.001,0.000,-3.27,-80.94,-30.93,-0.32,-7.94,-3.03
148.00 ,0.05802,0.04314,0.06584,0.000,0.000,0.000,-3.42,-81.09,-31.08,-0.34,-7.95,-3.05
149.00 ,0.05828,0.0444,0.06584,0.000,0.001,0.000,-3.42,-81.25,-30.35,-0.34,-7.97,-2.98
150.00 ,0.05853,0.04251,0.06584,0.001,-0.001,0.000,-3.11,-81.25,-30.35,-0.31,-7.97,-2.98
151.00 ,0.05802,0.04251,0.06584,0.000,-0.001,0.000,-3.27,-80.94,-30.20,-0.32,-7.94,-2.96
152.00 ,0.05841,0.0444,0.06584,0.001,0.001,0.000,-3.27,-81.25,-30.64,-0.32,-7.97,-3.00
153.00 ,0.05828,0.04377,0.06597,0.000,0.001,0.000,-3.27,-81.25,-30.79,-0.32,-7.97,-3.02
154.00 ,0.05815,0.04314,0.06597,0.000,0.000,0.000,-3.58,-81.09,-30.49,-0.35,-7.95,-2.99
155.00 ,0.05815,0.04503,0.06571,0.000,0.002,0.000,-3.27,-81.09,-31.08,-0.32,-7.95,-3.05
156.00 ,0.05828,0.04314,0.06571,0.000,0.000,0.000,-3.42,-81.09,-30.79,-0.34,-7.95,-3.02
157.00 ,0.05802,0.04314,0.06571,0.000,0.000,0.000,-3.11,-80.94,-30.64,-0.31,-7.94,-3.00
158.00 ,0.05815,0.04314,0.06609,0.000,0.000,0.000,-3.27,-81.09,-30.79,-0.32,-7.95,-3.02
159.00 ,0.05828,0.04377,0.06597,0.000,0.001,0.000,-3.42,-81.25,-30.93,-0.34,-7.97,-3.03
160.00 ,0.05841,0.04377,0.06584,0.001,0.001,0.000,-3.27,-81.56,-30.79,-0.32,-8.00,-3.02
161.00 ,0.05828,0.04314,0.06558,0.000,0.000,0.000,-3.42,-81.56,-30.93,-0.34,-8.00,-3.03
