"Reid, M.E., Brien, D.L., and LaHusen, Richard G., Landslide monitoring data for the Cleveland Corral landslide near U.S. Highway 50, El Dorado County, California"
U.S. Geological Survey data release: https://doi.org/10.5066/P1P9DMFX
daily rainfall maxima and daily medians other sensors at toe station, 2002 - 2018
date,mid_downslope_extensometer_cm_mid_E2_B,mid_shallow_piezometer_cm_mid_P1,mid_deep_open_tube_piezometer_cm_mid_P2,mid_deep_driven_piezometer_cm_mid_P4,mid_upslope_mid_deep_driven_piezometer_cm_mid_P5,mid_downslope_mid_deep_driven_piezometer_cm_mid_P6,mid_precipitation_mm_mid_R
7/20/2006,235.3,-1.1,93.7,,,,1700.02
7/21/2006,235.4,-1.1,91.05,,,,1700.02
7/22/2006,235.1,-1,89.5,,,,1700.02
7/23/2006,235.3,-0.9,88,,,,1700.02
7/24/2006,235.1,-0.9,87.3,,,,1700.02
7/25/2006,235.3,-0.9,85.5,,,,1700.02
7/26/2006,235.1,-0.9,81.1,,,,1700.02
7/27/2006,235.2,-0.9,77.85,,,,1700.02
7/28/2006,235.3,-0.9,75.4,,,,1700.02
7/29/2006,235.3,-0.9,73.2,,,,1700.02
7/30/2006,235.3,-0.7,70.8,,,,1700.02
7/31/2006,235.5,-0.7,70.1,,,,1700.02
8/1/2006,235.5,-0.9,66.75,,,,1700.02
8/2/2006,235.5,-0.9,62.8,149.5,,,1700.02
8/3/2006,235.3,-0.7,62.1,148,,,1700.02
8/4/2006,235.3,-0.8,59.8,146.1,,,1700.02
8/5/2006,235.3,-0.9,56,144.8,,,1700.02
8/6/2006,235.3,-0.7,54.3,144,,,1700.02
8/7/2006,235.5,-0.7,51.1,142.9,,,1700.02
8/8/2006,235.5,-0.7,46.5,141.75,,,1700.02
8/9/2006,235.4,-0.7,45,140.15,,,1700.02
8/10/2006,235.3,-0.4,43.6,139.2,,,1700.02
8/11/2006,235.3,-0.7,42.4,138.1,,,1700.02
8/12/2006,235.3,-0.4,41.7,137.1,,,1700.02
8/13/2006,235.3,-0.4,39.05,135.8,,,1700.02
8/14/2006,235.3,-0.4,35.25,134.4,,,1700.02
8/15/2006,235.5,-0.4,32.8,132.8,,,1700.02
8/16/2006,235.5,-0.2,30.6,131.5,,,1700.02
8/17/2006,235.5,-0.3,26,129.9,,,1700.02
8/18/2006,235.5,-0.2,23.4,128.2,,,1700.02
8/19/2006,235.5,-0.2,22.2,126.5,,,1700.02
8/20/2006,235.3,-0.2,19.9,124.9,,,1700.02
8/21/2006,235.3,0.2,16.2,123,,,1700.02
8/22/2006,235.3,0.2,12,121.2,,,1700.02
8/23/2006,235.3,0.7,9.7,119.6,,,1700.02
8/24/2006,235.4,0.9,10,117.7,,,1700.02
8/25/2006,235.3,1.2,10,116.4,,,1700.02
8/26/2006,235.3,1.6,8.8,114.45,,,1700.02
8/27/2006,235.3,1.4,7.8,112.4,,,1700.02
8/28/2006,235.3,1.4,6.8,110.6,,,1700.02
8/29/2006,235.3,1.6,5.4,109,,,1700.02
8/30/2006,235.3,1.6,3.7,107.1,,,1700.02
8/31/2006,235.3,1.5,2.9,105.45,,,1700.02
9/1/2006,235.3,1.6,1.4,103.4,,,1700.02
9/2/2006,235.3,1.6,0.45,101.6,,,1700.02
9/3/2006,235.3,1.5,0.3,99.5,,,1700.02
9/4/2006,235.3,1.4,0.2,97.6,,,1700.02
9/5/2006,235.3,1.6,0,95.5,,,1700.02
9/6/2006,235.3,1.4,0,93.9,,,1700.02
9/7/2006,235.3,1.6,0,92,,,1700.02
9/8/2006,235.3,1.6,0,90.7,,,1700.02
9/9/2006,235.5,1.6,0,89.1,,,1700.02
9/10/2006,235.5,1.6,0,87,,,1700.02
9/11/2006,235.3,1.6,0,86.7,,,1700.02
9/12/2006,235.3,1.6,0,85.4,,,1700.02
9/13/2006,235.3,1.6,0,83.8,,,1700.02
9/14/2006,,,,,,,
9/15/2006,,,,,,,
9/16/2006,,,,,,,
9/17/2006,,,,,,,
9/18/2006,235.3,1.6,0,75.1,,,1700.02
9/19/2006,235.8,1.6,0,73.8,,,1700.02
9/20/2006,235.5,1.6,0,71.9,,,1700.02
9/21/2006,235.5,1.6,0,70,,,1700.02
9/22/2006,235.8,1.6,0,68.7,,,1700.02
9/23/2006,235.5,1.4,0,66.6,,,1700.02
9/24/2006,235.5,1.4,0,64.7,,,1700.02
9/25/2006,235.5,1.4,0,62.9,,,1700.02
9/26/2006,235.5,1.6,0,61.3,,,1700.02
9/27/2006,235.4,1.4,0,59.4,,,1700.02
9/28/2006,235.4,1.4,0,57.45,,,1700.02
9/29/2006,235.4,1.4,0,56,,,1700.02
9/30/2006,235.5,1.4,0,54.7,,,1700.02
10/1/2006,-0.1,1.4,0,52.8,,,0.25
10/2/2006,0,1.4,0,51.8,,,0.51
10/3/2006,0,1.4,0,49.9,,,0.51
10/4/2006,0.2,1.4,0,48.6,,,0.51
10/5/2006,0.4,1.4,-0.1,47.4,,,15.49
10/6/2006,0,1.6,-0.2,45.7,,,15.49
10/7/2006,0,1.4,-0.1,44.1,,,15.49
10/8/2006,0,1.4,-0.1,42.1,,,15.49
10/9/2006,0,1.4,-0.1,40.4,,,15.49
10/10/2006,0.2,1.4,-0.1,39.3,,,16
10/11/2006,0,1.2,-0.1,37.7,,,16
10/12/2006,-0.2,1.4,-0.1,36.1,,,16
10/13/2006,0,1.2,0,34.5,,,16
10/14/2006,0,1.2,-0.1,33.5,,,16
10/15/2006,0,1.2,-0.1,31.9,,,16
10/16/2006,0.2,1.2,-0.1,30.8,,,17.02
10/17/2006,0.2,1.2,-0.1,29.2,,,17.02
10/18/2006,0.2,1.2,-0.1,27.6,,,17.02
10/19/2006,0,0.9,-0.2,25.8,,,17.02
10/20/2006,0,1.2,-0.2,24.5,,,17.02
10/21/2006,-0.2,1.2,-0.1,22.9,,,17.02
10/22/2006,-0.2,0.9,-0.2,21.3,,,17.02
10/23/2006,-0.1,1.2,-0.2,20,,,17.02
10/24/2006,0,1.2,-0.3,18.9,,,17.02
10/25/2006,0,0.9,-0.25,17.45,,,17.02
10/26/2006,0,0.9,-0.3,15.7,,,17.02
10/27/2006,0,0.9,-0.3,14.4,,,17.02
10/28/2006,0,0.9,-0.3,13.1,,,17.02
10/29/2006,0.1,0.9,-0.3,12,,,17.02
10/30/2006,0.2,0.9,-0.3,10.9,,,17.02
10/31/2006,0.2,0.7,-0.3,9.6,,,17.02
11/1/2006,0.2,0.9,-0.3,8.3,,,17.02
11/2/2006,0.2,0.7,-0.3,6.7,,,46.74
11/3/2006,0.4,0.7,-0.3,5.6,,,62.23
11/4/2006,0.2,0.7,0.3,2.7,,,62.23
11/5/2006,0.2,0.7,0.3,0.1,,,62.23
11/6/2006,0.2,0.7,0.3,-2.3,,,62.23
11/7/2006,0.2,0.7,0.3,-4.2,,,62.23
11/8/2006,0.4,0.7,0.35,-4.2,,,72.39
11/9/2006,0.4,0.7,0.6,-3.6,,,72.39
11/10/2006,0.4,0.7,0.6,-3.6,,,72.39
11/11/2006,0.6,0.7,0.4,-3.1,,,76.96
11/12/2006,0.6,0.7,0.5,-3.1,,,77.22
11/13/2006,0.6,0.5,0.4,-3.1,,,113.03
11/14/2006,0.6,0.7,0.4,-3.1,,,117.09
11/15/2006,0.6,0.7,0.3,-2.6,,,117.09
11/16/2006,0.6,0.5,0.3,-2.6,,,117.09
11/17/2006,0.6,0.5,0.3,-2.6,,,117.09
11/18/2006,0.4,0.2,0.3,-2.3,,,117.09
11/19/2006,0.6,0.5,0.3,-2.3,,,117.09
11/20/2006,0.6,0.5,0.2,-2.3,,,117.09
11/21/2006,0.6,0.2,0.2,-2,,,117.09
11/22/2006,0.6,0.2,0.2,-1.9,,,117.09
11/23/2006,0.6,0.1,0.1,-1.5,,,126.24
11/24/2006,0.8,0,0,-1.2,,,126.24
11/25/2006,0.8,0.2,0,-1.2,,,126.24
11/26/2006,1,0,0,-1,,,132.59
11/27/2006,1,0,0,-1,,,143.26
11/28/2006,1.2,0,0,-0.5,,,157.48
11/29/2006,1.4,0,0,-0.2,,,161.8
11/30/2006,1.2,0,0,-0.5,,,161.8
12/1/2006,1,0,-0.05,-0.5,,,161.8
12/2/2006,1,0,-0.1,-0.5,,,161.8
12/3/2006,0.9,-0.2,-0.1,-0.7,,,161.8
12/4/2006,0.8,-0.2,-0.2,-0.7,,,161.8
12/5/2006,0.8,-0.2,-0.1,-0.7,,,161.8
12/6/2006,0.8,-0.2,-0.2,-0.7,,,161.8
12/7/2006,0.7,-0.2,-0.2,-0.7,,,161.8
12/8/2006,0.8,-0.2,-0.2,-0.5,,,161.8
12/9/2006,0.8,-0.2,-0.3,-0.2,,,175.26
12/10/2006,1,-0.2,-0.3,0.1,,,187.71
12/11/2006,1,-0.4,-0.3,0.1,,,192.79
12/12/2006,1,-0.4,-0.35,0.1,,,205.49
12/13/2006,1,-0.4,-0.4,-0.2,,,214.12
12/14/2006,0.8,-0.4,-0.4,-0.2,,,214.88
12/15/2006,1,-0.4,-0.4,0.1,,,222
12/16/2006,1.2,-0.7,-0.5,0.6,,,222
12/17/2006,1.2,-0.7,-0.6,0.6,,,223.52
12/18/2006,1.4,-0.7,-0.6,0.75,,,223.52
12/19/2006,1.3,-0.7,-0.6,0.6,,,223.52
12/20/2006,1.2,-0.55,-0.6,0.6,,,223.52
12/21/2006,1.2,-0.7,-0.6,0.3,,,261.11
12/22/2006,1.2,-0.7,-0.6,0.3,,,261.62
12/23/2006,1.2,-0.7,-0.6,0.3,,,261.62
12/24/2006,1,-0.9,-0.6,0.3,,,261.62
12/25/2006,0.8,-0.7,-0.6,0.3,,,261.62
12/26/2006,1,-0.9,-0.6,0.3,,,275.84
12/27/2006,1.2,-0.9,-0.6,0.9,,,298.2
12/28/2006,1.2,-0.9,-0.6,0.9,,,298.2
12/29/2006,1.2,-0.9,-0.6,0.6,,,298.2
12/30/2006,1,-0.9,-0.6,0.9,,,298.2
12/31/2006,1.2,-1.1,-0.7,0.9,,,298.2
1/1/2007,1,-0.9,-0.6,0.6,,,297.69
1/2/2007,1,-0.9,-0.8,0.4,,,297.69
1/3/2007,0.8,-1.1,-0.8,0.5,,,301.5
1/4/2007,1.2,0.7,-0.6,0.8,,,340.11
1/5/2007,1.4,4.45,0,1.3,,,342.9
1/6/2007,1.2,-3,0,0.8,,,342.9
1/7/2007,1,-1.1,0,0.9,,,342.9
1/8/2007,0.8,-1.1,0,0.4,,,342.9
1/9/2007,0.8,-1.1,0,0.7,,,342.9
1/10/2007,0.8,-1.1,0,0.7,,,342.9
1/11/2007,1,-1.1,0,1,,,342.9
1/12/2007,1.2,-1.1,0,1.3,,,342.9
1/13/2007,1.2,-1.4,-0.1,1.1,,,342.9
1/14/2007,1.2,-1.25,-0.2,0.9,,,342.9
1/15/2007,1.2,-1.4,-0.2,0.7,,,342.9
1/16/2007,1.2,-1.4,-0.2,0.7,,,342.9
1/17/2007,1,-1.4,-0.2,0.6,,,342.9
1/18/2007,0.8,-1.1,-0.3,0.5,,,342.9
1/19/2007,0.8,-1.1,-0.3,0.5,,,342.9
1/20/2007,1,-1.4,-0.3,0.8,,,342.9
1/21/2007,0.8,-1.4,-0.3,0.6,,,342.9
1/22/2007,0.8,-1.4,-0.4,0.7,,,342.9
1/23/2007,0.8,-1.4,-0.4,0.7,,,342.9
1/24/2007,0.8,-1.4,-0.45,0.8,,,342.9
1/25/2007,0.6,-1.4,-0.5,0.8,,,342.9
1/26/2007,0.8,-1.4,-0.5,1.1,,,342.9
1/27/2007,0.9,-1.5,-0.6,1.1,,,342.9
1/28/2007,0.9,-1.4,-0.6,1.4,,,342.9
1/29/2007,0.8,-1.4,-0.6,1.2,,,342.9
1/30/2007,0.8,-1.4,-0.6,1.2,,,342.9
1/31/2007,0.8,-1.4,-0.6,1.3,,,342.9
2/1/2007,0.8,-1.4,-0.6,1.3,,,342.9
2/2/2007,1,-1.4,-0.7,1.6,,,342.9
2/3/2007,0.8,-1.4,-0.7,1.2,,,342.9
2/4/2007,0.6,-1.1,-0.7,1.2,,,342.9
2/5/2007,0.6,-1.4,-0.8,0.7,,,342.9
2/6/2007,0.6,-1.4,-0.8,1,,,342.9
2/7/2007,0.8,-1.4,-0.8,1.6,,,346.46
2/8/2007,0.8,-1.4,-0.5,1.3,,,356.62
2/9/2007,0.8,-1.4,0.3,1.4,,,378.97
2/10/2007,0.8,-1.4,0.5,1.7,,,425.7
2/11/2007,0.8,92.5,0.6,1.7,,,443.48
2/12/2007,1,82.1,0.4,1.8,,,443.99
2/13/2007,1,68,2.45,1.8,,,443.99
2/14/2007,0.8,61,45.95,1.85,,,443.99
2/15/2007,0.8,57.3,58.3,1.4,,,443.99
2/16/2007,0.7,55,67.5,1.55,,,443.99
2/17/2007,0.6,53.1,77.9,1.05,,,443.99
2/18/2007,0.8,50.8,89.4,1.7,,,444.5
2/19/2007,0.8,44.3,89.8,1.8,,,444.5
2/20/2007,0.8,37.25,81.7,1.8,,,444.5
2/21/2007,0.8,34.1,82.3,1.9,,,444.5
2/22/2007,1,31.8,87.2,2.4,,,457.45
2/23/2007,,28.8,79.7,2.5,,,480.31
2/24/2007,,53.1,74.9,2.3,,,488.19
2/25/2007,,110.9,92.4,2.3,,,518.67
2/26/2007,,112.1,113.9,2.9,,,551.94
2/27/2007,,116.6,130.85,5.15,,,573.79
2/28/2007,,112.1,139.5,8.8,,,586.23
3/1/2007,,110.2,142,12.8,,,592.84
3/2/2007,1,112.2,148.6,15.5,,,592.84
3/3/2007,1,116.2,155.6,18.2,,,592.84
3/4/2007,1,113.7,162.8,21.4,,,592.84
3/5/2007,1,109.1,170.6,24.6,,,592.84
3/6/2007,0.8,107.2,174.55,28.1,,,592.84
3/7/2007,0.8,104.6,179.9,32.4,,,592.84
3/8/2007,0.8,97.5,181.8,36.1,,,592.84
3/9/2007,0.8,90.4,182.05,39.9,,,592.84
3/10/2007,0.8,84.7,180.2,43.4,,,592.84
3/11/2007,0.6,78.2,178.7,46.8,,,592.84
3/12/2007,0.4,75.4,178.2,50.6,,,592.84
3/13/2007,0.4,72.4,179.3,54.3,,,592.84
3/14/2007,0.4,70.3,177.5,58.1,,,592.84
3/15/2007,0.4,67.65,176.7,61.6,,,592.84
3/16/2007,0.4,64.5,175.15,64.5,,,592.84
3/17/2007,0.4,63.1,175.6,68,,,592.84
3/18/2007,0.5,60.1,176.1,71.5,,,592.84
3/19/2007,0.6,57.8,175.2,75,,,592.84
3/20/2007,0.8,55.7,175.2,78.2,,,602.23
3/21/2007,1,54.1,174.8,81.4,,,602.23
3/22/2007,0.8,52.7,172.8,83.8,,,602.23
3/23/2007,0.6,51.1,171.7,86.5,,,602.23
3/24/2007,0.6,47.9,169.4,89.2,,,602.23
3/25/2007,0.6,45.3,166.9,90.3,,,602.23
3/26/2007,0.6,44.6,167.95,92.5,,,614.93
3/27/2007,,43.3,169.4,95.2,,,645.67
3/28/2007,1,56.05,165.15,97.3,,,649.48
3/29/2007,0.9,78,171.5,99,,,649.48
3/30/2007,0.8,71.5,177.6,101.4,,,649.48
3/31/2007,0.7,69.4,181.7,103.6,,,649.48
4/1/2007,0.8,67.1,186.8,106.2,,,649.48
4/2/2007,0.6,64.3,187.3,108.7,,,649.48
4/3/2007,0.6,61.5,186.7,110.8,,,649.48
4/4/2007,0.6,59.9,186.65,113.5,,,649.48
4/5/2007,0.4,59.2,189.4,115.7,,,649.48
4/6/2007,0.4,57.1,191.9,118.1,,,649.48
4/7/2007,0.4,53.8,193,120.5,,,649.48
4/8/2007,0.4,51.1,192.7,122.7,,,649.48
4/9/2007,0.6,48,190,124.8,,,649.48
4/10/2007,0.6,45.7,187.6,127,,,649.48
4/11/2007,0.8,45.5,190.05,129.7,,,661.42
4/12/2007,1,43.3,190.25,131.3,,,666.24
4/13/2007,0.8,41.3,185,133,,,666.24
4/14/2007,1,41.1,186.2,135.4,,,671.83
4/15/2007,0.8,40.8,189,136.7,,,671.83
4/16/2007,0.7,38.2,186.3,138.4,,,671.83
4/17/2007,1,36.9,183.2,140.5,,,673.86
4/18/2007,1,35.7,182.9,142.2,,,683.51
4/19/2007,1.2,36.8,185.1,144.1,,,683.51
4/20/2007,0.8,36.8,189.2,145.4,,,683.51
4/21/2007,1,33.9,182.9,147.1,,,694.44
4/22/2007,1,82.6,184.4,148.7,,,727.2
4/23/2007,0.8,81.9,186.4,150,,,727.2
4/24/2007,0.8,72.2,187.1,150.9,,,727.2
4/25/2007,0.7,70.1,192.2,152.5,,,727.2
4/26/2007,0.6,67.3,198.3,153.9,,,727.2
4/27/2007,0.4,63.1,198.4,155.3,,,727.2
4/28/2007,0.4,59.5,198.7,156.9,,,727.2
4/29/2007,0.4,56.4,200.05,158.25,,,727.2
4/30/2007,0.4,53.4,200.7,159.9,,,727.2
5/1/2007,0.4,50.8,203.1,161.5,,,727.2
5/2/2007,0.8,47.1,201.4,163.7,,,746.25
5/3/2007,0.8,46,199.5,165,,,746.76
5/4/2007,1,46.2,201.2,166.4,,,758.44
5/5/2007,0.8,45.7,198.55,167.8,,,758.44
5/6/2007,0.6,45.3,195.45,168.7,,,758.44
5/7/2007,0.4,44.6,194.2,170,,,758.44
5/8/2007,0.4,42.7,194.1,171.1,,,758.44
5/9/2007,0.4,40.4,194.7,172.2,,,758.44
5/10/2007,0.6,37.25,193,173.5,,,758.44
5/11/2007,0.4,35.3,192.1,174.6,,,758.44
5/12/2007,0.6,33.2,191.3,175.7,,,758.44
5/13/2007,0.4,31.1,189.3,176.8,,,758.44
5/14/2007,0.4,29,188.3,177.6,,,758.44
5/15/2007,0.3,26.9,186.8,178.5,,,758.44
5/16/2007,0.3,24.8,185.1,179.6,,,758.44
5/17/2007,0.4,23,183.5,180.4,,,758.44
5/18/2007,0.4,20.55,180.8,181.5,,,758.44
5/19/2007,0.4,18.3,178.6,182.1,,,758.44
5/20/2007,0.4,16.5,178.2,182.7,,,758.44
5/21/2007,0.4,14.9,178.4,183.8,,,758.44
5/22/2007,0.4,12.8,177,184.3,,,758.44
5/23/2007,0.4,9.1,172.05,184.7,,,758.44
5/24/2007,0.3,6.3,169.45,185.1,,,758.44
5/25/2007,0.2,4,167.15,185.8,,,758.44
5/26/2007,0.2,1.6,165,186.1,,,758.44
5/27/2007,0.2,-0.2,163.65,186.4,,,758.44
5/28/2007,0.2,-2.3,161.7,187.2,,,758.44
5/29/2007,0.2,-3.2,157.7,187.5,,,758.44
5/30/2007,0.2,-3,153.7,187.6,,,758.44
5/31/2007,0,-2.8,152.2,187.6,,,758.44
6/1/2007,0.2,-2.5,151.4,188.2,,,758.44
6/2/2007,0.2,-2.5,148.6,188.5,,,758.44
6/3/2007,0.1,-2.3,144.25,188.3,,,758.44
6/4/2007,0.2,-2.5,141.8,188.8,,,758.44
6/5/2007,0.4,-2.8,142,189.4,,,764.03
6/6/2007,0.6,-2.8,137.5,189.7,,,766.57
6/7/2007,0.4,-2.8,135.6,189.8,,,766.57
6/8/2007,0.2,-2.8,133.8,190.1,,,766.57
6/9/2007,,-2.8,130.9,190.1,,,766.57
6/10/2007,,-2.5,129.8,190.2,,,766.57
6/11/2007,,-2.5,129.15,190.2,,,766.57
6/12/2007,0.6,-2.8,123.2,190,,,766.57
6/13/2007,1,-2.8,119,189.7,,,766.57
6/14/2007,1,-2.5,118.75,189.75,,,766.57
6/15/2007,1,-2.8,117.8,189.8,,,766.57
6/16/2007,1,-2.8,115,189.8,,,766.57
6/17/2007,1,-2.8,112.5,189.4,,,766.57
6/18/2007,1,-2.8,110.7,189.1,,,766.57
6/19/2007,1,-2.5,106.7,188.9,,,766.57
6/20/2007,1,-2.5,101.5,189.2,,,766.57
6/21/2007,1,-2.5,98.5,188.6,,,766.57
6/22/2007,1,-2.5,97.6,188.2,,,766.57
6/23/2007,1,-2.5,97.1,188,,,766.57
6/24/2007,1,-2.8,95.7,187.8,,,766.57
6/25/2007,0.9,-2.65,91.7,187.3,,,766.57
6/26/2007,0.9,-2.5,88.45,187.1,,,766.57
6/27/2007,0.8,-2.3,85.4,186.6,,,766.57
6/28/2007,0.8,-2.5,83.15,185.8,,,766.57
6/29/2007,0.9,-2.5,80.6,185.3,,,766.57
6/30/2007,0.8,-2.5,78.3,184.8,,,766.57
7/1/2007,0.8,-2.3,75.7,183.8,,,766.57
7/2/2007,0.8,-2.4,72.4,183.3,,,766.57
7/3/2007,0.8,-2.3,70.15,182.6,,,766.57
7/4/2007,0.6,-2.3,70,181.8,,,766.57
7/5/2007,0.4,-2.3,68.5,181.1,,,766.57
7/6/2007,0.4,-2.3,66.9,180.6,,,766.57
7/7/2007,0.6,-2.3,64,180.1,,,766.57
7/8/2007,0.6,-2.3,62.2,179.3,,,766.57
7/9/2007,0.5,-2.1,59.9,179.1,,,766.57
7/10/2007,0.7,-2.2,57.2,178.4,,,767.08
7/11/2007,0.8,-2.1,53.6,177.9,,,767.08
7/12/2007,0.6,-2.1,49.5,177.1,,,767.08
7/13/2007,0.6,-2.1,46.4,176.1,,,767.08
7/14/2007,0.6,-2.1,44.4,175.3,,,767.08
7/15/2007,0.6,-2.1,42.9,174.6,,,767.08
7/16/2007,0.6,-1.8,42.2,174.1,,,767.08
7/17/2007,0.6,-1.8,40.95,173.3,,,767.08
7/18/2007,0.6,-1.8,38.1,172.3,,,767.08
7/19/2007,0.6,-1.8,35.2,171.3,,,767.08
7/20/2007,0.6,-1.8,32.7,170.8,,,767.08
7/21/2007,0.6,-1.8,27.9,169.5,,,767.08
7/22/2007,0.6,-1.6,24.2,168.5,,,767.08
7/23/2007,0.4,-1.8,23.5,167.35,,,767.08
7/24/2007,0.6,-1.8,23.1,166.5,,,767.08
7/25/2007,0.4,-1.8,20.45,165.4,,,767.08
7/26/2007,0.4,-1.6,16.5,164.4,,,767.08
7/27/2007,0.4,-1.6,13.6,163.25,,,767.08
7/28/2007,0.4,-1.6,11.3,162.4,,,767.08
7/29/2007,0.4,-1.4,10.5,161.1,,,767.08
7/30/2007,0.4,-1.4,8.9,160.3,,,767.08
7/31/2007,0.4,-1.1,8.15,159.1,,,767.08
8/1/2007,0.4,-1.4,7.1,157.8,,,767.08
8/2/2007,0.4,-0.9,5.9,157,,,767.08
8/3/2007,0.3,-0.4,3.4,156,,,767.08
8/4/2007,0.4,0,2.3,155,,,767.08
8/5/2007,0.4,0.5,1.1,154.2,,,767.08
8/6/2007,0.5,0.5,0,153.2,,,767.08
8/7/2007,0.6,0.5,-0.4,152.05,,,767.08
8/8/2007,0.4,0.7,-0.6,150.9,,,767.08
8/9/2007,0.6,0.7,-0.6,149.6,,,767.08
8/10/2007,0.5,0.7,-0.6,148.6,,,767.08
8/11/2007,0.4,0.7,-0.6,147,,,767.08
8/12/2007,0.4,0.7,-0.6,146.3,,,767.08
8/13/2007,0.4,0.7,-0.6,144.7,,,767.08
8/14/2007,0.4,0.7,-0.6,143.7,,,767.08
8/15/2007,0.3,0.7,-0.6,142.4,,,767.08
8/16/2007,0.4,0.7,-0.6,141.1,,,767.08
8/17/2007,0.4,0.7,-0.6,139.8,,,767.08
8/18/2007,0.6,0.7,-0.6,138.45,,,767.08
8/19/2007,0.6,0.7,-0.6,137,,,767.08
8/20/2007,0.4,0.7,-0.6,135.5,,,767.08
8/21/2007,0.4,0.7,-0.6,134.2,,,767.08
8/22/2007,0.3,0.7,-0.6,132.9,,,767.08
8/23/2007,0.2,0.7,-0.6,131.6,,,767.08
8/24/2007,0.3,0.7,-0.6,130.1,,,767.08
8/25/2007,0.4,0.7,-0.6,128.8,,,767.08
8/26/2007,0.4,0.7,-0.6,127.2,,,767.08
8/27/2007,0.4,0.7,-0.6,126.2,,,767.08
8/28/2007,0.4,0.7,-0.6,124.4,,,767.08
8/29/2007,0.2,0.9,-0.6,123.1,,,767.08
8/30/2007,0.2,0.9,-0.6,121.6,,,767.33
8/31/2007,0.2,0.9,-0.6,120,,,767.59
9/1/2007,0.2,0.9,-0.6,117.9,,,767.59
9/2/2007,0.2,0.9,-0.6,116.6,,,767.59
9/3/2007,0.2,0.9,-0.6,115.1,,,767.59
9/4/2007,0.4,0.9,-0.6,113.8,,,767.59
9/5/2007,0.4,0.9,-0.6,111.85,,,767.59
9/6/2007,0.3,0.9,-0.6,110.2,,,767.59
9/7/2007,0.4,0.9,-0.6,108.1,,,767.59
9/8/2007,0.4,0.9,-0.5,106.3,,,767.59
9/9/2007,0.2,0.9,-0.6,104.5,,,767.59
9/10/2007,0.3,0.9,-0.55,102.9,,,767.59
9/11/2007,0.3,0.9,-0.6,100.3,,,767.59
9/12/2007,0.4,0.9,-0.6,97.85,,,767.59
9/13/2007,0.6,0.9,-0.5,97.2,,,767.59
9/14/2007,0.8,0.9,-0.4,97,,,767.59
9/15/2007,0.8,0.9,-0.45,95.7,,,767.59
9/16/2007,0.6,0.9,-0.4,93.6,,,767.59
9/17/2007,0.6,0.9,-0.4,91.5,,,767.59
9/18/2007,0.6,1.05,-0.4,89.05,,,767.59
9/19/2007,0.8,0.9,-0.4,86.9,,,767.59
9/20/2007,1,1.2,-0.4,84.8,,,773.43
9/21/2007,1,0.9,-0.4,82.4,,,773.43
9/22/2007,1.2,0.9,-0.4,80.6,,,773.68
9/23/2007,1.2,0.9,-0.4,78.8,,,776.73
9/24/2007,1,0.9,-0.4,76.5,,,776.73
9/25/2007,0.8,0.9,-0.5,74.6,,,776.73
9/26/2007,0.8,0.9,-0.4,73.1,,,776.73
9/27/2007,0.8,0.9,-0.3,71.5,,,776.73
9/28/2007,1,0.7,-0.4,70.3,,,779.02
9/29/2007,1,0.9,-0.4,68.55,,,780.03
9/30/2007,1,0.7,-0.3,67.4,,,780.03
10/1/2007,-0.2,0.8,-0.4,66,,,0
10/2/2007,-0.4,0.7,-0.3,64.1,,,0
10/3/2007,-0.3,0.7,-0.3,62.9,,,0
10/4/2007,-0.2,0.7,-0.3,61.2,,,0
10/5/2007,0.2,0.7,-0.3,60.2,,,7.62
10/6/2007,0,0.7,-0.3,57.9,,,7.62
10/7/2007,0,0.5,-0.4,56.3,,,7.62
10/8/2007,-0.2,0.7,-0.3,55,,,7.62
10/9/2007,-0.2,0.5,-0.3,53.2,,,7.62
10/10/2007,0,0.5,-0.4,51.7,,,20.32
10/11/2007,0,0.7,-0.4,49.6,,,20.32
10/12/2007,0,0.5,-0.4,48.8,,,20.83
10/13/2007,0,0.5,-0.4,47.3,,,20.83
10/14/2007,0,0.5,-0.4,45.6,,,20.83
10/15/2007,0,0.5,-0.4,44.2,,,20.83
10/16/2007,0.2,0.5,-0.5,42.9,,,22.86
10/17/2007,0.2,0.35,-0.5,41.1,,,28.7
10/18/2007,0,0.2,-0.55,39,,,28.7
10/19/2007,-0.2,0.2,-0.5,37.7,,,42.93
10/20/2007,0,0.2,-0.55,36.8,,,46.99
10/21/2007,0,0,-0.5,34.3,,,46.99
10/22/2007,-0.1,0.2,-0.6,32.8,,,46.99
10/23/2007,-0.2,0,-0.6,31,,,46.99
10/24/2007,-0.4,0.2,-0.6,29.9,,,46.99
10/25/2007,-0.2,0,-0.6,28.7,,,46.99
10/26/2007,-0.1,0,-0.6,27.25,,,46.99
10/27/2007,0,0,-0.6,25.8,,,46.99
10/28/2007,-0.2,0.2,-0.6,24.3,,,47.24
10/29/2007,-0.2,0.2,-0.6,22.7,,,50.55
10/30/2007,0,0,-0.6,21.4,,,50.8
10/31/2007,0,0,-0.6,19.9,,,50.8
11/1/2007,0,0.1,-0.6,18.3,,,50.8
11/2/2007,-0.2,0,-0.6,16.5,,,50.8
11/3/2007,-0.2,0.2,-0.6,15.5,,,50.8
11/4/2007,-0.2,0,-0.6,14.2,,,50.8
11/5/2007,-0.2,0,-0.6,12.7,,,50.8
11/6/2007,-0.2,0.2,-0.6,10.9,,,50.8
