h_m,cv_m2_s,T_s,Pu_kPa,phi_deg,tau_kPa,sigma_eff0_kPa,Pi,R_Pi,FS_PD,Psi
0.05302818565657881,2.4722451533015997e-06,5.01157177049491,6.938780795159312,25.857000783382684,40.99956324510373,41.568590191724,0.0044060756772160165,0.9001335101171667,0.41754259094178403,-0.582457409058216
0.025231950951916188,0.00012953555742617427,2.004050104423261,22.23929476363746,26.908679230965713,33.14083374406948,33.075627153267966,0.40775182187154874,0.20077235475188732,0.43814321412627266,-0.5618567858737273
0.02110524154198635,2.2513329435123843e-06,8.278987171430533,30.39460725229865,27.11128689011368,35.547706641512555,53.06750928740952,0.04184429761148825,0.6922580073517154,0.46126184247338714,-0.5387381575266128
0.05270271236490296,3.4564236325197594e-05,4.475124902474791,25.52748139626377,31.169146013388843,25.174315872005835,33.99353229045621,0.05568858630880358,0.6450993367572552,0.4211073386153042,-0.5788926613846959
0.032153305498475074,5.379600632581392e-06,12.963872575059542,30.96071841065239,31.693126248911963,31.6856130840216,33.70400990152853,0.06745801160775101,0.609678690731911,0.2889466751048268,-0.7110533248951731
0.08692009836048525,9.691411322246753e-06,29.998007618323026,26.415678683649443,25.30213169928248,26.32152748465026,67.89994839602915,0.0384803504962808,0.7048789538361071,0.8850867861998776,-0.11491321380012243
0.02113271278207237,1.4206901867539619e-05,167.50579170653438,9.671135524920478,37.08016032973758,27.732499865266256,50.4191678549794,5.328668550773202,0.015638678316284762,1.3698720851777397,0.36987208517773973
0.04780350019134715,5.361831002058337e-06,21.72864171822688,30.121334758306652,36.31784534330811,26.238199578688352,31.508007690069153,0.05098310791664343,0.6603683638904542,0.3254408754034081,-0.6745591245965918
0.02571221532335515,0.00010645790412019826,20.584220348524685,30.46607832870973,29.119255138335735,18.642125238537144,29.057922582982247,3.314616907196739,0.02514116582785494,0.8453737983039757,-0.15462620169602426
0.02897849671093312,6.504008583590323e-05,7.336523612492624,27.146021574955753,28.93730232941913,21.57386367841203,52.14251898343513,0.5682241934824114,0.14612559817107373,1.2346143901941091,0.23461439019410912
0.030466780364709616,2.0571178624790262e-05,38.93707385889892,34.191886387652886,27.162282756155836,33.97169740191279,52.65740603717275,0.8629176712066723,0.09655254690315034,0.745459591741613,-0.254540408258387
0.03159986885889799,1.4038227949487064e-05,158.35315564074736,29.63978443307714,30.935448352802805,28.463155865837194,68.12625451510901,2.22622190610098,0.03743262658035492,1.4111238488629785,0.4111238488629785
0.02136617049625471,4.744311564238673e-06,2.0668856938487017,5.518154564917738,28.588910428763455,36.772050797769396,74.12916818690348,0.02148009916055482,0.7794983170888306,1.0348568471857675,0.03485684718576754
0.08001646797037996,0.00015429129661124967,15.683491717476992,11.154937618804482,35.7738454893356,28.363257720162697,57.09495636649395,0.3779422405196999,0.21527927026368635,1.3894129203520835,0.3894129203520835
0.037819266883563865,6.443556551113402e-05,3.8072793589331098,18.358428397223904,35.248105290627976,33.403970987648975,54.427543044665796,0.1715197665503065,0.3977500716507047,0.9969670236114544,-0.003032976388545605
0.020743593067936855,1.5540919509073528e-05,45.191085753335564,26.987833509412738,36.70962794463985,28.705350913913815,25.08968989379798,1.6321554460692875,0.051057223275062194,0.6159271417172231,-0.38407285828277693
0.048825184925184256,2.138505549812887e-05,2.741177993537457,28.639661631691993,35.110839818970575,20.55771063501237,38.97827742997344,0.02459007337040348,0.7640752265182923,0.5846806660330442,-0.41531933396695575
0.047759064166001924,9.794713205429463e-06,112.44160048705983,12.385888912543603,25.289326639339084,23.98231496132755,78.66384504072568,0.4828443193853502,0.17113943571993442,1.5079779172929424,0.5079779172929424
0.03298488697402133,2.528136416528932e-05,33.20365555009853,27.64616328519083,29.900424475132855,40.436531253491076,45.269294748501856,0.7715363708057329,0.10795710690072194,0.6013175242031592,-0.3986824757968408
0.11501263784293461,5.5182679944655146e-05,52.62807256754563,5.866072332321423,35.183184162743416,24.344162845815664,89.09054828588248,0.21954781769689383,0.3367220287489997,2.5227735546475762,1.5227735546475762
0.07574083064534416,1.349445338298258e-05,4.290001766733226,7.408584588654817,24.27563806138685,20.19589383354605,54.79459619953454,0.01009142834995153,0.8488632356299185,1.0832077406349396,0.08320774063493963
0.0658334902887338,3.607636761453481e-05,5.665971699435034,23.308884831436956,30.55309899616497,38.62468488780996,61.29679748108126,0.047163219466170025,0.6733096258034112,0.6969377559609433,-0.3030622440390567
