Pi,R_Pi
0.11890740838088326,0.4872223580916007
0.12357254910461397,0.47807777617572356
0.12842071911363936,0.4688542846845804
0.1334590992672862,0.4595588281980696
0.13869515215433503,0.45019883034503216
0.14413663314622285,0.44078218069578906
0.14979160188389792,0.4313172176471872
0.15566843421534565,0.42181270718097214
0.1617758346014612,0.412277817406503
0.16812284900864857,0.40272208883501315
0.17471887830723995,0.39315540037510593
0.1815736921955786,0.38358793108804645
0.18869744367039354,0.37403011779647877
0.19610068406489312,0.364492608701095
0.20379437867685693,0.3549862132257664
0.2117899230098678,0.34552184838183636
0.22009915965174529,0.3361104820153818
0.22873439581517463,0.32676307337589394
0.23770842156651575,0.31749051151922403
0.24703452876979062,0.30830355212994554
0.25672653077390484,0.29921275341635095
0.26679878287226944,0.2902284117929078
0.27726620356511905,0.2813604981178436
0.2881442966560269,0.27261859529520727
0.29944917421533707,0.26401183807905365
0.3111975804445326,0.25554885593007126
0.32340691647688413,0.2472377197701968
0.3360952661511085,0.23908589345690756
0.34928142279622065,0.2311001907548496
0.3629849170672402,0.2232867385177092
0.3772260458729929,0.2156509467077997
0.3920259024388428,0.20819748577558497
0.4074064075488903,0.20093027179783912
0.4233903420139082,0.19385245963379075
0.4400013804131006,0.18696644420660485
0.4572641261596717,0.18027386985686156
0.4752041479421288,0.17377564754991945
0.4938480175953084,0.16747197955527135
0.5132233494572039,0.16136239105867556
0.5333588412699003,0.1554457680224431
0.5542843166851904,0.14972040048117358
0.5760307694378264,0.1441840303543477
0.5986304092518446,0.13883390277770752
0.6221167095479435,0.1336668199055504
0.6465244570225918,0.1286791961179458
0.6718898031722844,0.12386711358119713
0.698250317839277,0.11922637715583163
0.7256450448580994,0.11475256772183637
0.7541145598852647,0.11044109309217652
0.7837010304978443,0.10628723580804332
0.8144482786499023,0.10228619724707981
0.8464018455793191,0.09843313762264357
0.879609059261118,0.09472321160142819
0.9141191045072232,0.09115159941201172
0.9499830958164687,0.08771353345224744
0.9872541530827506,0.08440432052382435
1.0259874802734805,0.08121935992391734
1.0662404471948528,0.07815415770409416
1.1080726744650344,0.07520433746437681
1.1515461218211622,0.07236564808580481
1.1967251798909022,0.06963396881947051
1.2436767655645196,0.06700531214622683
1.2924704211087386,0.06447582480230193
1.3431784171691503,0.06204178733547317
1.3958758598137713,0.0596996125179404
1.4506408017762655,0.057445842899121205
